"Ticker","Market Cap","Gross Profit Margin","Gross Margin 5Yr Avg","Net Profit Margin","Net Margin 5Yr Avg","FCF / Net Income","Free Cash Flow Margin","FCF Margin 5Yr Avg","Return on Invested Capital","ROIC 5Yr Avg","P/FCF","Forward P/FCF","FCF Yield","Forward FCF Yield","Debt / Equity","Net Debt / EBITDA","Current Ratio","Quick Ratio","EBIT / Interest Expense","Long-term Debt to Assets","Revenue 5Y CAGR","Revenue 10Y CAGR","Net Income 5Y CAGR","Net Income 10Y CAGR","Levered Free Cash Flow 5Y CAGR","Levered Free Cash Flow 10Y CAGR","P/B","EV/EBITDA","EV/EBIT","EV/FCF","Return on Assets","ROA 5Yr Avg","Return on Equity","ROE 5Yr Avg","Operating Margin","Stock-based Comp to Revenue","PEG Ratio","Revenue Forward 3Y CAGR","Shares Out Growth 5Y (CAGR)","Shares Out Growth 10Y (CAGR)","Capital Expenditure","Cash from Operations","P/OCF","Forward P/OCF"
"NVDA","$5,056.28B","74.1%","67.7%","63.0%","41.7%","74.6%","47.0%","36.2%","107.0%","93.2%","42.5","28.8","2.4%","3.5%","0.1","-0.2","3.4","2.1","544.6","0.0","67.4%","47.6%","97.4%","72.4%","64.3%","46.7%","25.9","30.3","30.9","73.1","83.0%","54.7%","114.3%","83.3%","64.0%","2.7%","0.4","47.1%","-0.6%","1.3%","-$6.57B","$125.65B","40.2","27.4"
"AAPL","$4,724.33B","47.9%","44.7%","27.2%","25.5%","105.4%","28.6%","26.4%","40.3%","34.2%","36.6","28.5","2.7%","3.5%","0.8","-0.4","1.1","0.9","—","0.2","6.8%","7.1%","9.9%","9.2%","4.8%","7.2%","44.3","29.1","31.6","38.9","34.9%","29.3%","141.5%","154.5%","32.6%","3.0%","2.2","10.7%","-2.5%","-3.9%","-$11.05B","$140.22B","33.7","25.8"
"GOOGL","$3,888.94B","60.9%","57.5%","54.8%","28.7%","21.8%","11.9%","21.1%","24.7%","28.8%","73.0","175.6","1.4%","0.6%","0.2","-0.8","2.7","2.5","200.6","0.1","15.1%","18.5%","31.2%","29.8%","-8.4%","5.9%","6.2","21.9","25.5","42.5","34.3%","22.3%","48.7%","31.5%","33.1%","6.3%","0.5","21.1%","-1.8%","-1.2%","-$132.40B","$185.68B","20.9","21.3"
"MSFT","$2,834.54B","68.3%","68.9%","39.3%","36.2%","58.2%","22.9%","29.1%","22.1%","24.6%","38.9","50.5","2.6%","2.0%","0.3","0.3","1.3","1.1","52.1","0.2","14.8%","13.9%","17.5%","28.2%","-0.5%","8.1%","6.8","15.6","18.5","42.0","19.9%","19.2%","34.0%","37.4%","46.8%","3.9%","1.0","17.4%","-0.3%","-0.5%","-$97.23B","$170.14B","16.7","17.4"
"META","$1,538.54B","81.9%","81.0%","32.8%","30.6%","68.4%","22.4%","27.8%","29.2%","27.9%","31.9","170.9","3.1%","0.6%","0.4","0.1","2.3","2.1","59.6","0.2","17.9%","27.0%","15.9%","30.5%","10.3%","15.2%","6.3","14.1","17.4","27.6","20.9%","19.8%","32.9%","29.4%","41.2%","10.4%","2.9","21.5%","-2.2%","-1.2%","-$75.75B","$124.00B","12.4","13.0"
"ASML","$691.87B","52.7%","51.7%","30.1%","28.6%","94.4%","28.4%","30.5%","25.4%","24.0%","60.5","63.9","1.7%","1.6%","0.1","-0.4","1.3","0.7","105.8","0.0","16.3%","19.3%","17.3%","23.1%","11.9%","20.8%","27.8","44.6","47.2","57.2","22.1%","20.0%","53.3%","58.9%","35.4%","0.6%","1.1","25.2%","-1.3%","-1.0%","-$1.65B","$13.08B","52.9","42.4"
"V","$662.38B","97.8%","97.6%","51.7%","52.0%","95.3%","49.2%","56.7%","28.4%","25.2%","31.3","24.0","3.2%","4.2%","0.7","0.3","1.1","0.7","46.5","0.2","15.0%","11.7%","15.8%","12.5%","18.0%","11.9%","18.9","22.3","23.3","16.3","23.7%","20.3%","60.3%","48.0%","67.1%","2.1%","2.1","11.4%","-2.3%","-2.1%","-$1.57B","$22.76B","29.1","22.0"
"MA","$468.56B","100.0%","100.0%","45.9%","45.2%","114.2%","52.4%","48.4%","41.9%","40.6%","26.3","28.1","3.8%","3.6%","2.8","0.5","1.0","0.6","27.9","0.3","17.0%","13.1%","18.9%","15.3%","21.0%","12.7%","70.0","22.2","23.7","25.5","30.9%","28.2%","232.1%","177.6%","59.5%","1.8%","2.0","12.5%","-2.3%","-2.2%","-$0.48B","$18.27B","25.7","23.0"
"AMAT","$446.84B","49.0%","47.4%","29.3%","25.8%","62.8%","18.4%","22.5%","27.1%","31.0%","83.6","39.9","1.2%","2.5%","0.3","-0.1","2.5","1.6","31.9","0.1","7.9%","11.7%","13.9%","20.9%","0.2%","8.5%","18.7","48.1","50.7","105.7","23.0%","22.8%","39.7%","43.9%","30.3%","2.4%","1.8","21.8%","-2.8%","-3.1%","-$2.65B","$7.99B","55.9","31.1"
"LRCX","$399.91B","50.0%","47.0%","30.9%","27.1%","89.5%","27.7%","25.0%","48.4%","39.2%","66.6","47.0","1.5%","2.1%","0.4","-0.1","2.5","1.7","44.9","0.2","10.3%","14.1%","14.2%","23.9%","19.0%","19.2%","37.8","50.8","53.7","80.0","32.9%","25.1%","66.8%","58.5%","34.3%","1.7%","1.6","26.0%","-2.6%","-2.4%","-$0.95B","$6.95B","57.5","43.0"
