Ticker;Secteur
NVDA;Semiconductors
AMAT;Semiconductors
LRCX;Semiconductors
KLAC;Semiconductors
ASML;Semiconductors
AAPL;Tech Hardware
ANET;Tech Hardware
MSFT;Software
ADBE;Software
NOW;Software
FTNT;Software
VEEV;Software
FICO;Software
GOOGL;Media
META;Media
V;Financials
MA;Financials
MCO;Financials
CME;Financials
ICE;Financials
MSCI;Financials
FDS;Financials
NOVO B;Healthcare
ISRG;Healthcare
BKNG;Consumer Disc.
HESA.F;Consumer Disc.
CPRT;Industrials
SPGI;Financials
MORN;Financials
FIX;Industrials
CBOE;Financials
DSY;Software
CSU;Software
